N Green St & W Lake St,member,-87.64842,41.88558,1742
Burling St & Diversey Pkwy,casual,-87.64775,41.93311,1739
Larrabee St & Menomonee St,member,-87.64333,41.91469,1707
Kimbark Ave & 53rd St,casual,-87.59474,41.79957,1703
Broadway & Thorndale Ave,member,-87.66014,41.98975,1702
Fairbanks St & Superior St,member,-87.62012,41.89576,1702
Broadway & Granville Ave,member,-87.66028,41.99478,1702
Lakefront Trail & Wilson Ave,casual,-87.6454,41.96584,1692
Southport Ave & Wellington Ave,casual,-87.66361,41.93577,1687
Burnham Harbor,casual,-87.61384,41.85747,1682
Mies van der Rohe Way & Chicago Ave,casual,-87.62174,41.89702,1676
Wells St & Walton St,casual,-87.63444,41.89995,1675
LaSalle Dr & Huron St,casual,-87.63247,41.8949,1674
Sheffield Ave & Kingsbury St,casual,-87.65315,41.91056,1672
Damen Ave & Cortland St,casual,-87.67731,41.91597,1671
Sheridan Rd & Noyes St (NU),member,-87.67744,42.05824,1668
Wolcott (Ravenswood) Ave & Montrose Ave,member,-87.67621,41.96143,1667
Franklin St & Chicago Ave,casual,-87.63571,41.89678,1662
Ritchie Ct & Banks St,casual,-87.62622,41.90686,1659
Marine Dr & Ainslie St,member,-87.65016,41.97156,1652
Spaulding Ave & Armitage Ave,member,-87.71018,41.91714,1646
Michigan Ave & Madison St,casual,-87.62513,41.88207,1633
Ashland Ave & Wrightwood Ave,member,-87.66853,41.92883,1625
Leavitt St & Division St,member,-87.68375,41.90297,1616
Clark St & Chicago Ave,casual,-87.63086,41.8967,1611
California Ave & Milwaukee Ave,casual,-87.69714,41.92268,1596
Lincoln Ave & Diversey Pkwy,casual,-87.65867,41.9322,1595
Carpenter St & Huron St,casual,-87.65347,41.89455,1590
Clarendon Ave & Junior Ter,casual,-87.64957,41.96099,1584
Clark St & Leland Ave,casual,-87.66738,41.96709,1577
Lakefront Trail & Wilson Ave,member,-87.64539,41.96584,1569
Wabash Ave & 16th St,casual,-87.62581,41.86039,1567
Clarendon Ave & Gordon Ter,casual,-87.6495,41.95784,1566
Walsh Park,member,-87.66794,41.9146,1557
Michigan Ave & Ida B Wells Dr,member,-87.62455,41.87631,1550
Peoria St & Jackson Blvd,casual,-87.64959,41.87768,1548
Paulina St & Montrose Ave,member,-87.67139,41.96151,1545
Michigan Ave & 14th St,casual,-87.62372,41.86413,1544
Clarendon Ave & Leland Ave,member,-87.65002,41.96795,1542
Milwaukee Ave & Wabansia Ave,casual,-87.6814,41.91262,1521
Southport Ave & Belmont Ave,casual,-87.66378,41.93944,1518
Racine Ave & Washington Blvd,member,-87.65701,41.88308,1509
Sangamon St & Lake St,casual,-87.65105,41.88583,1505
Clinton St & Tilden St,member,-87.64077,41.87588,1504
Clifton Ave & Armitage Ave,casual,-87.65699,41.91821,1502
Clark St & 9th St (AMLI),member,-87.6312,41.87081,1499
Broadway & Wilson Ave,casual,-87.65824,41.96521,1497
University Ave & 59th St,member,-87.59893,41.78788,1497
Racine Ave & Fullerton Ave,casual,-87.65847,41.9256,1485
Racine Ave & 18th St,member,-87.65648,41.85827,1481
Calumet Ave & 18th St,casual,-87.61943,41.85766,1474
Dearborn St & Van Buren St,member,-87.62922,41.87626,1473
Ashland Ave & Lake St,member,-87.66717,41.88593,1472
Calumet Ave & 35th St,member,-87.61802,41.83134,1470
Western Ave & Division St,member,-87.68731,41.90294,1465
Lincoln Ave & Sunnyside Ave,member,-87.68477,41.96296,1463
Albany Ave & Bloomingdale Ave,member,-87.70514,41.91401,1462
Sheridan Rd & Montrose Ave,casual,-87.65463,41.96156,1461
Western Ave & Congress Pkwy,member,-87.68639,41.87469,1459
State St & Harrison St,casual,-87.62774,41.87405,1458
California Ave & Francis Pl,member,-87.69739,41.91856,1457
Canal St & Jackson Blvd,casual,-87.63946,41.8773,1449
Stetson Ave & South Water St,casual,-87.62226,41.88672,1448
Aberdeen St & Randolph St,casual,-87.65428,41.88412,1441
Lincoln Ave & Waveland Ave,member,-87.67526,41.94874,1437
